Grupo  Peso  Tempo  Censura
1  19.9  7    1
1  19.7  7    1
1  16.4  5    1
1  17.0  7    0
1  21.6  7    0
1  24.6  7    0
1  22.7  7    0
1  15.9  7    0
1  18.9  7    0
1  15.7  7    0
1  20.4  7    0
1  15.8  7    0
1  16.9  7    0
1  15.3  7    0
1  17.3  7    0
1  18.0  9    0
1  20.6  10   1
1  21.2  12   1
1  17.9  12   1
1  20.9  14   1
2  15.1  3    1
2  17.1  7    1
2  21.9  7    1
2  18.6  7    1
2  15.7  7    0
2  19.9  7    0
2  14.6  7    0
2  18.3  7    0
2  14.5  7    0
2  20.9  7    0
2  16.7  7    0
2  24.3  7    0
2  23.9  7    0
2  22.4  7    0
2  18.9  7    0
2  18.2  8    1
2  18.0  9    1
2  24.4  9    1
2  18.8  11   1
2  19.9  18   1
3  23.4  7    0
3  26.8  7    0
3  23.4  7    0
3  26.2  7    0
3  20.6  7    0
3  24.4  7    0
3  23.4  7    0
3  22.6  7    0
3  19.1  7    0
3  15.1  7    0
3  19.2  7    0
3  20.3  7    0
3  19.3  7    0
3  21.3  7    0
3  22.3  7    0
3  21.0  9    1
3  19.1  11   1
3  17.4  11   1
3  20.4  18   1
3  21.0  25   1
4  21.5  5    1
4  22.0  5    1
4  19.7  5    1
4  22.5  7    1
4  25.6  7    1
4  21.7  7    1
4  19.5  7    0
4  23.8  7    0
4  21.0  7    0
4  20.2  7    0
4  16.5  7    0
4  22.7  7    0
4  22.9  7    0
4  16.9  7    0
4  22.1  7    0
4  17.9  7    0
4  22.1  7    0
4  21.5  7    0
4  22.1  7    0
4  23.0  7    0
4  24.7  7    0
4  19.5  7    0
4  24.8  7    0
4  20.1  7    0
4  19.8  7    0
4  19.7  7    0
4  17.9  7    0
4  21.1  7    0
4  19.0  5    1
4  16.4  7    1
4  20.3  8    1
4  21.6  8    1
4  20.8  17   1
